Module	Section	Sample Name	Source
FastQC	all_sections	ERR3141445_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141445_1_fastqc.zip
FastQC	all_sections	ERR3141445_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141445_2_fastqc.zip
FastQC	all_sections	ERR3141446_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141446_1_fastqc.zip
FastQC	all_sections	ERR3141446_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141446_2_fastqc.zip
FastQC	all_sections	ERR3141447_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141447_1_fastqc.zip
FastQC	all_sections	ERR3141447_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141447_2_fastqc.zip
FastQC	all_sections	ERR3141448_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141448_1_fastqc.zip
FastQC	all_sections	ERR3141448_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141448_2_fastqc.zip
FastQC	all_sections	ERR3141449_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141449_1_fastqc.zip
FastQC	all_sections	ERR3141449_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141449_2_fastqc.zip
FastQC	all_sections	ERR3141450_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141450_1_fastqc.zip
FastQC	all_sections	ERR3141450_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141450_2_fastqc.zip
FastQC	all_sections	ERR3141451_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141451_1_fastqc.zip
FastQC	all_sections	ERR3141451_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141451_2_fastqc.zip
FastQC	all_sections	ERR3141452_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141452_1_fastqc.zip
FastQC	all_sections	ERR3141452_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141452_2_fastqc.zip
FastQC	all_sections	ERR3141453_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141453_1_fastqc.zip
FastQC	all_sections	ERR3141453_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141453_2_fastqc.zip
FastQC	all_sections	ERR3141454_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141454_1_fastqc.zip
FastQC	all_sections	ERR3141454_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141454_2_fastqc.zip
FastQC	all_sections	ERR3141455_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141455_1_fastqc.zip
FastQC	all_sections	ERR3141455_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141455_2_fastqc.zip
FastQC	all_sections	ERR3141456_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141456_1_fastqc.zip
FastQC	all_sections	ERR3141456_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141456_2_fastqc.zip
FastQC	all_sections	ERR3141457_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141457_1_fastqc.zip
FastQC	all_sections	ERR3141457_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141457_2_fastqc.zip
FastQC	all_sections	ERR3141458_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141458_1_fastqc.zip
FastQC	all_sections	ERR3141458_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141458_2_fastqc.zip
FastQC	all_sections	ERR3141459_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141459_1_fastqc.zip
FastQC	all_sections	ERR3141459_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141459_2_fastqc.zip
FastQC	all_sections	ERR3141460_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141460_1_fastqc.zip
FastQC	all_sections	ERR3141460_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141460_2_fastqc.zip
FastQC	all_sections	ERR3141461_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141461_1_fastqc.zip
FastQC	all_sections	ERR3141461_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141461_2_fastqc.zip
FastQC	all_sections	ERR3141462_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141462_1_fastqc.zip
FastQC	all_sections	ERR3141462_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141462_2_fastqc.zip
FastQC	all_sections	ERR3141463_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141463_1_fastqc.zip
FastQC	all_sections	ERR3141463_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141463_2_fastqc.zip
FastQC	all_sections	ERR3141464_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141464_1_fastqc.zip
FastQC	all_sections	ERR3141464_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141464_2_fastqc.zip
FastQC	all_sections	ERR3141465_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141465_1_fastqc.zip
FastQC	all_sections	ERR3141465_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141465_2_fastqc.zip
FastQC	all_sections	ERR3141466_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141466_1_fastqc.zip
FastQC	all_sections	ERR3141466_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141466_2_fastqc.zip
FastQC	all_sections	ERR3141467_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141467_1_fastqc.zip
FastQC	all_sections	ERR3141467_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141467_2_fastqc.zip
FastQC	all_sections	ERR3141468_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141468_1_fastqc.zip
FastQC	all_sections	ERR3141468_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141468_2_fastqc.zip
FastQC	all_sections	ERR3141469_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141469_1_fastqc.zip
FastQC	all_sections	ERR3141469_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141469_2_fastqc.zip
FastQC	all_sections	ERR3141470_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141470_1_fastqc.zip
FastQC	all_sections	ERR3141470_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141470_2_fastqc.zip
FastQC	all_sections	ERR3141471_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141471_1_fastqc.zip
FastQC	all_sections	ERR3141471_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141471_2_fastqc.zip
FastQC	all_sections	ERR3141472_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141472_1_fastqc.zip
FastQC	all_sections	ERR3141472_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141472_2_fastqc.zip
FastQC	all_sections	ERR3141473_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141473_1_fastqc.zip
FastQC	all_sections	ERR3141473_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141473_2_fastqc.zip
