Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
ERR3141449_1										10.494338369709991	5.296019112534204	21.018826304159496	14.642765821842788	25.732844325203132	0.0	0.0
ERR3141449_2										9.216607448850691	6.69015025169162	26.18317959599583	12.771202967633105	26.33049265915345	0.0	0.0
ERR3141450_1										9.636816942366792	5.1494902870584065	20.00547775267141	12.652400343165093	26.416865033813043	4.556201339632749	0.0
ERR3141450_2										9.29929071158424	6.866121308055116	24.08640349287288	12.856204964616133	25.855798160925097	2.2205037115802106	0.0
ERR3141451_1										9.174311926605505	3.314735351058561	8.609445835541194	10.52431071444651	45.080539306852856	7.341527528130746	0.0
ERR3141451_2										6.615963787615891	2.554538496437984	11.919332550624954	12.533377663719389	51.557277975763746	0.0	0.0
ERR3141452_1										11.764319727719398	6.833273578379143	19.450995046230133	18.540531532941813	25.782831980851483	0.0	0.0
ERR3141452_2										10.797804384162076	7.673546060970252	20.46245284829143	14.166973857628351	32.585807272598736	0.0	0.0
ERR3141453_1										10.83008916237599	5.041232366361087	13.170496881409854	8.605634392398175	26.855037883544732	18.572146176064297	0.0
ERR3141453_2										10.190882833103101	5.306207878102893	12.97919544560258	8.208380426137554	30.5127883126125	17.45866298296287	0.0
